,address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,restaurant_name,review_score,review_scores
917,7238 Prince Abdullah AlFiasal Street Obhur Al-Shamaliyah, Jeddah 23815 Saudi Arabia,Jeddah,"Cafe, Fast Food, International",Cafe,"7238 Prince Abdullah AlFiasal Street Obhur Al-Shamaliyah, Jeddah 23815 Saudi Arabia",2,Open Now:1:00 PM - 12:00 AM,43 of 55 Cafe in Jeddah,Juicetry,4.0 ,4.0
918,Thalia street, Jeddah Saudi Arabia,Jeddah,"American, Halal",American,"Thalia street, Jeddah Saudi Arabia",20,Open Now:See all hours,66 of 79 American in Jeddah,Ketchup,3.0 ,3.0
919,6754 Muhammad Ibn Abdul Aziz Al Andalus District, Jeddah 23322 Saudi Arabia,Jeddah,"ebanese, Middle Eastern, Arabic",Arabic,"6754 Muhammad Ibn Abdul Aziz Al Andalus District, Jeddah 23322 Saudi Arabia",5,Open Now:7:30 AM - 12:00 AM,41 of 46 Lebanese in Jeddah,Zaroob,3.5 ,3.5
920,Jeddah Saudi Arabia,Jeddah Saudi Arabia,Jeddah,American,American,Jeddah Saudi Arabia,1,+ Add hours,67 of 79 American in Jeddah,Burger League,5.0 ,5.0
921,Jeddah 40004 Saudi Arabia,Jeddah 40004 Saudi Arabia,Jeddah,Arabic,Arabic,Jeddah 40004 Saudi Arabia,2,+ Add hours,43 of 51 Arabic in Jeddah,Shawly,4.0 ,4.0
922,Saudia City Compound Al Khalidiya, Jeddah 23421 Saudi Arabia,Jeddah,"arbecue, Soups",International,"Saudia City Compound Al Khalidiya, Jeddah 23421 Saudi Arabia",1,+ Add hours,30 of 32 Barbecue in Jeddah,City Station,5.0 ,5.0
923,Stars Avenue Mall, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"Stars Avenue Mall, Jeddah Saudi Arabia",8,Open Now:See all hours,1 of 1 Austrian in Jeddah,Aida Cafe Vienna,3.5 ,3.5
924,2423 Al Amal, Jeddah Saudi Arabia,Jeddah,Asian,Asian,"2423 Al Amal, Jeddah Saudi Arabia",2,+ Add hours,60 of 65 Asian in Jeddah,Asian kokh Restaurant,4.0 ,4.0
925,Jeddah Saudi Arabia,Jeddah Saudi Arabia,Jeddah,"editerranean, Egyptian, Arabic",Arabic,Jeddah Saudi Arabia,1,Closed Now:See all hours,76 of 84 Mediterranean in Jeddah,El Moez,5.0 ,5.0
926,Corniche road, Jeddah Saudi Arabia,Jeddah,Pizza,Pizza,"Corniche road, Jeddah Saudi Arabia",81,Closed Now:See all hours,23 of 29 Pizza in Jeddah,Pizza Hut,3.0 ,3.0
927,Abdulmaksoud Khoja Street, Jeddah Saudi Arabia,Jeddah,Cafe,Cafe,"Abdulmaksoud Khoja Street, Jeddah Saudi Arabia",4,+ Add hours,44 of 55 Cafe in Jeddah,Solo Cafe,3.5 ,3.5
928,Jeddah Saudi Arabia,Jeddah Saudi Arabia,Jeddah,"Chinese, Asian",Asian,Jeddah Saudi Arabia,14,+ Add hours,27 of 29 Chinese in Jeddah,China Gate,3.5 ,3.5
929,Mall Of Arabia 2445 Al-Nuzhah Jeddah 23532 - 8071, Jeddah Saudi Arabia,Jeddah,"Italian, Pizza, Fast Food",Italian,"Mall Of Arabia 2445 Al-Nuzhah Jeddah 23532 - 8071, Jeddah Saudi Arabia",26,+ Add hours,37 of 43 Italian in Jeddah,The Pizza Company,3.0 ,3.0
930,Prince Sultan Street Nama Center, Jeddah Saudi Arabia,Jeddah,Japanese,Asian,"Prince Sultan Street Nama Center, Jeddah Saudi Arabia",2,+ Add hours,23 of 24 Japanese in Jeddah,Shogun Lounge,4.0 ,4.0
931,Jeddah Saudi Arabia,Jeddah Saudi Arabia,Jeddah,Seafood,Seafood,Jeddah Saudi Arabia,3,+ Add hours,41 of 44 Seafood in Jeddah,Seagulls' Catch,3.5 ,3.5
